Track Duration (ms),Popularity,Loudness
183374,88,-11.0235027
213143,59,-3.050041339
208323,69,-5.776073499
175826,45,-6.693785748
177313,32,-5.416018229
215150,85,-7.905213519
199426,59,-3.823407375
242506,65,-4.361188965
216140,55,-8.229800509
155202,71,-7.675766163
352000,51,-5.327267022
209026,51,-5.691772962
181709,37,-7.959811164
172555,60,-10.15833836
198480,60,-11.99717689
178080,61,-7.698196069
177682,38,-6.153768431
183889,40,-8.248252606
182400,64,-5.910458989
165702,60,-8.36667998
